0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~5 | [Self] Tine Pre Amp Volume AMS Source            | 00~29        | Off~Tempo          |11/12|127|  0|  4|  0|
|    3 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Pre Amp Volume AMS Intensity         | 9C~64        | -100~+100          |11/12|127|  0|  5|  0|
|    4 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Treble                               | 9C~64        | -100~+100          |11/12|127|  0|  6|  0|
|    5 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Treble AMS Source                    | 00~29        | Off~Tempo          |11/12|127|  0|  7|  0|
|    6 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Treble AMS Intensity                 | 9C~64        | -100~+100          |11/12|127|  0|  8|  0|
|    7 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Bass                                 | 9C~64        | -100~+100          |11/12|127|  0|  9|  0|
|    8 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Bass AMS Source                      | 00~29        | Off~Tempo          |11/12|127|  0| 10|  0|
|    9 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Bass AMS Intensity                   | 9C~64        | -100~+100          |11/12|127|  0| 11|  0|
|   10 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 5   | [Self] Tine Tremolo On Off                       | 00~01        | Off~On             |11/12|127|  0| 12|  0|
|      | 7~6 | [Self] Tine Tremolo On Off AMS Source            | 00~29        | Off~Tempo          |11/12|127|  0| 13|  0|
|   11 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 6   | [Self] Tine Tremolo On Off AMS Mode              | 00~01        | Toggle~Momentary   |11/12|127|  0| 14|  0|
|      | 7   | [Self] Tine Tremolo Speed                        | 00~64        | 0~100              |11/12|127|  0| 15|  0|
|   12 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Tine Tremolo Speed AMS Source             | 00~29        | Off~Tempo          |11/12|127|  0| 16|  0|
|   13 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Tine Tremolo Speed AMS Intensity          | 9C~64        | -100~+100          |11/12|127|  0| 17|  0|
|   14 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Tine Tremolo Intensity                    | 00~64        | 0~100              |11/12|127|  0| 18|  0|
|   15 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Tremolo Intensity AMS Source         | 00~29        | Off~Tempo          |11/12|127|  0| 19|  0|
|   16 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Tine Tremolo Intensity AMS Intensity      | 9C~64        | -100~+100          |11/12|127|  0| 20|  0|
|   17 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 5   | [Self] Tine Cabinet On Off                       | 00~01        | Off~On             |11/12|127|  0| 21|  0|
|      | 7~6 | [Self] Tine Cabinet On Off AMS Source            | 00~29        | Off~Tempo          |11/12|127|  0| 22|  0|
|   18 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 6   | [Self] Tine Cabinet On Off AMS Mode              | 00~01        | Toggle~Momentary   |11/12|127|  0| 23|  0|
|      | 7   | [Self] Tine Cabinet Drive                        | 00~64        | 0~100              |11/12|127|  0| 24|  0|
|   19 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Tine Cabinet Drive AMS Source             | 00~29        | Off~Tempo          |11/12|127|  0| 25|  0|
|   20 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Tine Cabinet Drive AMS Intensity          | 9C~64        | -100~+100          |11/12|127|  0| 26|  0|
|   21 | 5~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~6 | [Self] Reed Volume                               | 00~64        | 0~100              |11/12|127|  0| 27|  0|
|   22 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Reed Volume AMS Source                    | 00~29        | Off~Tempo          |11/12|127|  0| 28|  0|
|   23 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Reed Volume AMS Intensity                 | 9C~64        | -100~+100          |11/12|127|  0| 29|  0|
|   24 | 4~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~5 | [Self] Reed Vibrato                              | 00~64        | 0~100              |11/12|127|  0| 30|  0|
|   25 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~4 | [Self] Reed Vibrato AMS Source                   | 00~29        | Off~Tempo          |11/12|127|  0| 31|  0|
|   26 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~4 | [Self] Reed Vibrato AMS Intensity                | 9C~64        | -100~+100          |11/12|127|  0| 32|  0|
|   27 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~4 | [Self] Reed Speed                                | 00~64        | 0~100              |11/12|127|  0| 33|  0|
|   28 | 2~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~3 | [Self] Reed Speed AMS Source                     | 00~29        | Off~Tempo          |11/12|127|  0| 34|  0|
|   29 | 2~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~3 | [Self] Reed Speed AMS Intensity                  | 9C~64        | -100~+100          |11/12|127|  0| 35|  0|
|   30 | 2~0 |                                                  |              |                    |     |   |   |   |   |
|      | 3   | [Self] Reed Cabinet On Off                       | 00~01        | Off~On             |11/12|127|  0| 36|  0|
|      | 7~4 | [Self] Reed Cabinet On Off AMS Source            | 00~29        | Off~Tempo          |11/12|127|  0| 37|  0|
|   31 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 4   | [Self] Reed Cabinet On Off AMS Mode              | 00~01        | Toggle~Momentary   |11/12|127|  0| 38|  0|
|      | 7~5 | [Self] Reed Cabinet Drive                        | 00~64        | 0~100              |11/12|127|  0| 39|  0|
|   32 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~4 | [Self] Reed Cabinet Drive AMS Source             | 00~29        | Off~Tempo          |11/12|127|  0| 40|  0|
|   33 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 7~4 | [Self] Reed Cabinet Drive AMS Intensity          | 9C~64        | -100~+100          |11/12|127|  0| 41|  0|
|   34 | 3~0 |                                                  |              |                    |     |   |   |   |   |
|      | 4   | [Self] IFX On/Off                                | 00~01        | 0~1                |11/12|127|  0| 42|  0|
