0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~4 | [EG1 (Filter)] Time Mod.2 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 11|  0| 10|  0|
|  130 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.2 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 11|  0| 10|  1|
|  131 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.2 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 11|  0| 10|  2|
|  132 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.2 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 11|  0| 10|  3|
|  133 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.3 Source                    | 00~34        | Off~Tempo          |11/12| 11|  0| 11|  0|
|  134 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.3 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 11|  0| 12|  0|
|  135 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [EG1 (Filter)] Time Mod.3 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 11|  0| 12|  1|
|  136 | 3~0 |                                                     |              |                    |     |   |   |   |   |
